Order Date,Sales,Year,Macro_Retail_Index,Anomaly_IF,Rolling_Mean,Rolling_Std,Z_Score,Anomaly_Z
2015-01-05,324.044,2015,264.44,1,324.044,,,1
2015-01-12,4599.572,2015,264.44,1,2461.808,3023.254841952957,0.7071067811865476,1
2015-01-19,4509.127,2015,264.44,1,3144.2476666666666,2442.7866496311817,0.558738657565288,1
2015-01-26,3811.2000000000003,2015,264.44,1,3310.9857500000003,2022.2126736520363,0.24735986304379787,1
2015-02-02,1642.31,2015,264.44,1,3640.55225,1377.9494090244814,-1.4501564693979982,1
2015-02-09,756.888,2015,264.44,-1,2679.8812500000004,1770.167531277454,-1.0863340424125048,1
2015-02-16,2780.094,2015,264.44,1,2247.623,1331.2892334079766,0.39996642850999686,1
2015-02-23,227.236,2015,264.44,-1,1351.6319999999998,1116.987641751986,-1.0066324442376047,1
2015-03-02,2326.039,2015,264.44,1,1522.56425,1223.5315199706056,0.6566849622470725,1
2015-03-09,3982.968,2015,264.44,1,2329.08425,1565.9413135751868,1.0561594714070304,1
2015-03-16,4611.522,2015,264.44,1,2786.94125,1959.940198995771,0.9309369494716594,1
2015-03-23,38176.809,2015,264.44,-1,12274.3345,17295.203790125837,1.497668071120863,1
2015-03-30,4224.035,2015,264.44,1,12748.8335,16953.960834235022,-0.5028204667540538,1
2015-04-06,10844.27,2015,264.44,1,14464.159,16096.87300672573,-0.22488150328871373,1
2015-04-13,7406.179,2015,264.44,1,15162.823250000001,15579.003612487386,-0.4978909077203529,1
2015-04-20,2810.244,2015,264.44,1,6321.181999999998,3575.8567609831284,-0.9818452568650199,1
2015-04-27,4409.654,2015,264.44,1,6367.586749999999,3540.600461178443,-0.5529945475260786,1
2015-05-04,5162.244,2015,264.44,1,4947.080249999998,1910.3540889120532,0.1126302978326585,1
2015-05-11,7787.834,2015,264.44,1,5042.493999999999,2076.4278867163716,1.3221456028224683,1
2015-05-18,3270.032,2015,264.44,1,5157.440999999999,1918.3750531728886,-0.9838581860613368,1
2015-05-25,5416.56,2015,264.44,1,5409.167499999998,1852.4740996382152,0.003990609100254842,1
2015-06-01,11592.213,2015,264.44,1,7016.659749999999,3565.012200749061,1.28346075478749,1
2015-06-08,5882.692,2015,264.44,1,6540.374249999998,3554.889477822763,-0.18500779112908,1
2015-06-15,7124.992,2015,264.44,1,7504.114249999998,2819.171150633048,-0.13448004031783076,1
2015-06-22,12171.9686,2015,264.44,1,9192.966399999998,3155.1689377679586,0.944165671872841,1
